variant,rank,pca_cumulative_input_energy,aggregate_mean_cosine,aggregate_p05_cosine,expert_mean_cosine,projected_bfloat16_all_layers_gib,projected_bfloat16_mebibytes_per_token,multiply_accumulates_per_token
mean,0,0.0,0.6184498425874896,0.2331036086972297,0.3982282876968384,0.5509071350097656,10.0625,0
shared_pca_rank02,2,0.05988451838493347,0.6449236636612189,0.2504210980572465,0.43133074045181274,1.6533355712890625,30.19873046875,10551296
shared_pca_rank04,4,0.09637999534606934,0.6604874675245817,0.2466044476527319,0.4474981427192688,2.7557640075683594,50.3349609375,21102592
shared_pca_rank08,8,0.1369277983903885,0.6732287035086397,0.24707176102520872,0.4584824740886688,4.960620880126953,90.607421875,42205184
shared_pca_rank16,16,0.19540351629257202,0.6819032106714543,0.24585809017885582,0.46265196800231934,9.37033462524414,171.15234375,84410368
shared_pca_rank32,32,0.276312917470932,0.6811156713482377,0.21416181600585107,0.45905789732933044,18.189762115478516,332.2421875,168820736
shared_pca_rank64,64,0.3768344819545746,0.6635859022454915,0.1798810162432534,0.443578839302063,35.828617095947266,654.421875,337641472
