variant,requested_rank,mean_realized_rank,validation_weighted_rank,aggregate_mean_cosine,aggregate_p05_cosine,expert_mean_cosine,atlas_k64_all_layers_gib,atlas_kall_all_layers_gib,mean_coordinate_kib_per_token
per_expert_rank01,1,0.9988839285714286,0.9999305555555555,0.6768627816579439,0.2516439058474332,0.4340892732143402,1.1093946993350983,1.122454471886158,2.874800347222222
per_expert_rank02,2,1.9977678571428572,1.999861111111111,0.698286634449096,0.2643196569263514,0.45593979954719543,1.6684964299201965,1.694615975022316,5.749600694444444
per_expert_rank04,4,3.9955357142857144,3.999722222222222,0.7208107759835727,0.283899444197758,0.48484939336776733,2.786699891090393,2.838938981294632,11.499201388888888
per_expert_rank08,8,7.989955357142857,7.999270833333333,0.7448916300597043,0.3148630546787027,0.5184942483901978,5.022491276264191,5.1269694566726685,22.997903645833333
per_expert_rank16,16,15.957589285714286,15.995763888888888,0.7678724775283404,0.339691328635988,0.5550292730331421,9.48236958682537,9.691325947642326,45.98782118055556
per_expert_rank32,32,31.649553571428573,31.933368055555555,0.7899440887166584,0.3819419843763522,0.5924400687217712,18.26742672920227,18.68533945083618,91.80843315972221
per_expert_rank64,64,61.237723214285715,63.18364583333334,0.8106729390140721,0.4398539580681009,0.6305835247039795,34.83764749765396,35.67347294092178,181.65298177083335
